================================================================================
   BACKUP BAZĂ SALARIALĂ — 132 MESERII SALARIILE.RO (6 SEPTEMBRIE 2026)
================================================================================

[#  1] Pilot                      |  18500 lei net | external-reported | ISCO: specialisti  | CAEN: 51  | Sursa: Ghiduri salariale aviație civilă / rapoarte industrie (2025–2026)
[# 20] Stomatolog                 |   8700 lei net | external-reported | ISCO: specialisti  | CAEN: 86  | Sursa: Colegiul Medicilor Stomatologi / Salario (2025–2026)
[# 21] Cercetător                 |   8688 lei net | sector-context    | ISCO: specialisti  | CAEN: 72  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 22] Inginer aeronautic         |   8678 lei net | sector-context    | ISCO: specialisti  | CAEN: 30  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 23] Arhitect                   |   8248 lei net | sector-context    | ISCO: specialisti  | CAEN: 71  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 24] Administrator de sistem    |   8200 lei net | external-reported | ISCO: specialisti  | CAEN: 62  | Sursa: Hays România, Salary Guide 2026 / piață IT (2025–2026)
[# 25] Sondor                     |   8123 lei net | sector-context    | ISCO: operatori    | CAEN: 09  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 26] Profesor universitar       |   8031 lei net | public-grid       | ISCO: specialisti  | CAEN: Q   | Sursa: Legea 153/2017, Anexa I, cap. I, pct. 2/4 (iunie 2024)
[# 27] Farmacist în industrie     |   7951 lei net | sector-context    | ISCO: specialisti  | CAEN: 21  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 28] Jurnalist                  |   7915 lei net | sector-context    | ISCO: specialisti  | CAEN: 60  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 29] Analist financiar          |   7800 lei net | external-reported | ISCO: specialisti  | CAEN: 64  | Sursa: Hays România, Salary Guide 2026 / Salario (2025–2026)
[# 30] Tester QA                  |   7500 lei net | external-reported | ISCO: tehnicieni   | CAEN: 62  | Sursa: eJobs Salario / piață IT (2025–2026)
[# 31] Regizor                    |   7492 lei net | sector-context    | ISCO: specialisti  | CAEN: 59  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 32] Electrician centrală electrică |   7262 lei net | sector-context    | ISCO: muncitori    | CAEN: D   | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 33] Inginer                    |   7000 lei net | external-reported | ISCO: specialisti  | CAEN: 71  | Sursa: eJobs, Review & Trends 2026, p. 54 (2025)
[# 34] Traducător                 |   6925 lei net | sector-context    | ISCO: specialisti  | CAEN: 74  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 35] Însoțitor de bord (stewardesă) |   6920 lei net | external-reported | ISCO: servicii     | CAEN: 51  | Sursa: Rapoarte piața aviatică / Salario (2025–2026)
[# 36] Miner                      |   6911 lei net | sector-context    | ISCO: operatori    | CAEN: 05  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 37] Consilier juridic          |   6800 lei net | external-reported | ISCO: specialisti  | CAEN: 69  | Sursa: eJobs Salario / piață juridică (2025)
[# 38] Agent de asigurări         |   6700 lei net | sector-context    | ISCO: tehnicieni   | CAEN: 65  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 39] Manager de magazin         |   6641 lei net | sector-context    | ISCO: conducatori  | CAEN: 47  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 40] Medic                      |   6544 lei net | public-grid       | ISCO: specialisti  | CAEN: 86  | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. II (iunie 2024)
[# 41] Agent de vânzări           |   6541 lei net | sector-context    | ISCO: tehnicieni   | CAEN: 46  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 42] Tehnician mentenanță       |   6537 lei net | sector-context    | ISCO: tehnicieni   | CAEN: 33  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 43] Mecanic de locomotivă      |   6400 lei net | external-reported | ISCO: operatori    | CAEN: 49  | Sursa: CCM Feroviar / Statutul Personalului Feroviar (Legea 195/2020) (2025–2026)
[# 44] Silvicultor                |   6274 lei net | sector-context    | ISCO: specialisti  | CAEN: 02  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 45] Broker                     |   5935 lei net | sector-context    | ISCO: tehnicieni   | CAEN: 66  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 46] Cameraman                  |   5867 lei net | sector-context    | ISCO: tehnicieni   | CAEN: 59  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 47] Operator CNC               |   5858 lei net | sector-context    | ISCO: muncitori    | CAEN: 28  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 48] Specialist marketing       |   5750 lei net | external-reported | ISCO: specialisti  | CAEN: 73  | Sursa: eJobs Salario, Domeniul Marketing (2025)
[# 49] Inginer agronom            |   5645 lei net | sector-context    | ISCO: specialisti  | CAEN: 01  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 50] Muzician                   |   5600 lei net | external-reported | ISCO: specialisti  | CAEN: 90  | Sursa: Legea 153/2017 Anexa III / filarmonici de stat (2024–2026)
[# 51] Metalurgist                |   5525 lei net | sector-context    | ISCO: operatori    | CAEN: 24  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 52] Electrician                |   5500 lei net | external-reported | ISCO: muncitori    | CAEN: 43  | Sursa: eJobs Salario / oferte angajatori calificare ANRE (2025–2026)
[# 53] Constructor de drumuri     |   5404 lei net | sector-context    | ISCO: muncitori    | CAEN: 42  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 54] Ofițer de credite          |   5400 lei net | external-reported | ISCO: specialisti  | CAEN: 64  | Sursa: eJobs Salario, Sector Bancar (2025)
[# 55] Instalator                 |   5300 lei net | external-reported | ISCO: muncitori    | CAEN: 43  | Sursa: eJobs Salario / oferte instalații sanitare și termice (2025–2026)
[# 56] Agent de turism            |   5232 lei net | sector-context    | ISCO: functionari  | CAEN: 79  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 57] Specialist resurse umane   |   5200 lei net | external-reported | ISCO: specialisti  | CAEN: 78  | Sursa: eJobs, Review & Trends 2026, p. 54 (2025)
[# 58] Logistician                |   5180 lei net | external-reported | ISCO: specialisti  | CAEN: 52  | Sursa: eJobs Salario / rapoarte piața de logistică (2025–2026)
[# 59] Operator mase plastice     |   5104 lei net | sector-context    | ISCO: operatori    | CAEN: 22  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 60] Faianțar                   |   5100 lei net | external-reported | ISCO: muncitori    | CAEN: 43  | Sursa: eJobs Salario / platforme de recrutare finisaje (2025–2026)
[# 61] Contabil                   |   5000 lei net | external-reported | ISCO: tehnicieni   | CAEN: 69  | Sursa: eJobs, Review & Trends 2026, p. 54 (2025)
[# 62] Designer grafic            |   4950 lei net | external-reported | ISCO: specialisti  | CAEN: 73  | Sursa: eJobs Salario, Creație / Design (2025)
[# 63] Sudor                      |   4918 lei net | sector-context    | ISCO: muncitori    | CAEN: 25  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 64] Șofer de autobuz           |   4900 lei net | external-reported | ISCO: operatori    | CAEN: 49  | Sursa: Grile publice transport urban (STB, CTP) / eJobs (2025–2026)
[# 65] Electromecanic             |   4882 lei net | sector-context    | ISCO: muncitori    | CAEN: 27  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 66] Agent imobiliar            |   4870 lei net | sector-context    | ISCO: tehnicieni   | CAEN: M   | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 67] Tehnician dentar           |   4800 lei net | external-reported | ISCO: tehnicieni   | CAEN: 86  | Sursa: eJobs Salario / analiză piață stomatologică (2025–2026)
[# 68] Editor                     |   4780 lei net | external-reported | ISCO: specialisti  | CAEN: 58  | Sursa: eJobs Salario, Domeniul Media & Editare (2025–2026)
[# 69] Asistent medical           |   4775 lei net | external-reported | ISCO: tehnicieni   | CAEN: 86  | Sursa: Legea 153/2017 Anexa II / rapoarte sănătate publică (2024–2026)
[# 70] Operator chimist           |   4751 lei net | sector-context    | ISCO: operatori    | CAEN: 20  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 71] Sticlar                    |   4706 lei net | sector-context    | ISCO: muncitori    | CAEN: 23  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 72] Dulgher                    |   4700 lei net | external-reported | ISCO: muncitori    | CAEN: 41  | Sursa: eJobs Salario / piața construcțiilor (2025–2026)
[# 73] Medic rezident             |   4680 lei net | public-grid       | ISCO: specialisti  | CAEN: 86  | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. II (iunie 2024)
[# 74] Actor                      |   4650 lei net | external-reported | ISCO: specialisti  | CAEN: 90  | Sursa: Legea 153/2017 Anexa III / teatre de repertoriu (2024–2026)
[# 75] Operator stație de epurare |   4623 lei net | sector-context    | ISCO: operatori    | CAEN: 37  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 76] Zugrav                     |   4600 lei net | external-reported | ISCO: muncitori    | CAEN: 43  | Sursa: eJobs Salario / oferte finisaje construcții (2025–2026)
[# 77] Operator stație de apă     |   4530 lei net | sector-context    | ISCO: tehnicieni   | CAEN: 36  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 78] Operator producție         |   4529 lei net | sector-context    | ISCO: operatori    | CAEN: C   | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 79] Bucătar                    |   4500 lei net | external-reported | ISCO: servicii     | CAEN: 56  | Sursa: eJobs Salario / Horeca Insight (2025–2026)
[# 80] Kinetoterapeut             |   4450 lei net | external-reported | ISCO: specialisti  | CAEN: 86  | Sursa: eJobs Salario / rapoarte piață medicală (2025–2026)
[# 81] Zidar                      |   4400 lei net | external-reported | ISCO: muncitori    | CAEN: 41  | Sursa: eJobs Salario / oferte construcții civile (2025–2026)
[# 82] Tipograf                   |   4367 lei net | sector-context    | ISCO: muncitori    | CAEN: 18  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 83] Marinar                    |   4306 lei net | sector-context    | ISCO: operatori    | CAEN: 50  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 84] Șofer de ambulanță         |   4280 lei net | external-reported | ISCO: operatori    | CAEN: 86  | Sursa: eJobs Salario / grile Servicii Județene de Ambulanță (2025–2026)
[# 85] Bijutier                   |   4261 lei net | sector-context    | ISCO: muncitori    | CAEN: 32  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 86] Profesor                   |   4256 lei net | public-grid       | ISCO: specialisti  | CAEN: Q   | Sursa: Legea 153/2017, Anexa I, cap. I, pct. 5 (iunie 2024)
[# 87] Medic veterinar            |   4200 lei net | external-reported | ISCO: specialisti  | CAEN: 75  | Sursa: eJobs, Review & Trends 2026, p. 52 (2025)
[# 88] Muncitor în industria alimentară |   4157 lei net | sector-context    | ISCO: operatori    | CAEN: 10  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 89] Muncitor în construcții    |   4153 lei net | sector-context    | ISCO: muncitori    | CAEN: 41  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 90] Crupier                    |   4100 lei net | external-reported | ISCO: functionari  | CAEN: 92  | Sursa: eJobs Salario, Cazino & Gaming (2025–2026)
[# 91] Farmacist                  |   4057 lei net | public-grid       | ISCO: specialisti  | CAEN: 47  | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. II (iunie 2024)
[# 92] Mecanic auto               |   4046 lei net | sector-context    | ISCO: muncitori    | CAEN: G   | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 93] Operator call center       |   4000 lei net | external-reported | ISCO: functionari  | CAEN: 82  | Sursa: eJobs, Review & Trends 2026, p. 54 (2025)
[# 94] Țesător                    |   3986 lei net | sector-context    | ISCO: muncitori    | CAEN: 13  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 95] Psiholog                   |   3916 lei net | public-grid       | ISCO: specialisti  | CAEN: 86  | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. II (iunie 2024)
[# 96] Taximetrist                |   3900 lei net | external-reported | ISCO: operatori    | CAEN: 49  | Sursa: eJobs Salario / platforme transport alternativ (2025)
[# 97] Învățător                  |   3867 lei net | public-grid       | ISCO: specialisti  | CAEN: Q   | Sursa: Legea 153/2017, Anexa I, cap. I, pct. 5 (iunie 2024)
[# 98] Tâmplar                    |   3865 lei net | sector-context    | ISCO: muncitori    | CAEN: 16  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[# 99] Cosmetician                |   3800 lei net | external-reported | ISCO: servicii     | CAEN: 96  | Sursa: eJobs, Review & Trends 2026, p. 52 (2025)
[#100] Secretar                   |   3760 lei net | external-reported | ISCO: functionari  | CAEN: 82  | Sursa: eJobs Salario / piața serviciilor administrative (2025)
[#101] Educator                   |   3755 lei net | public-grid       | ISCO: specialisti  | CAEN: Q   | Sursa: Legea 153/2017, Anexa I, cap. I, pct. 5 (iunie 2024)
[#102] Fermier                    |   3748 lei net | sector-context    | ISCO: agricultura  | CAEN: 01  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#103] Militar                    |   3742 lei net | public-grid       | ISCO: servicii     | CAEN: P   | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. VI (2022)
[#104] Polițist                   |   3735 lei net | public-grid       | ISCO: servicii     | CAEN: P   | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. VI (2022)
[#105] Recepționer hotel          |   3691 lei net | sector-context    | ISCO: functionari  | CAEN: 55  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#106] Antrenor sportiv           |   3671 lei net | sector-context    | ISCO: tehnicieni   | CAEN: 93  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#107] Cizmar                     |   3667 lei net | sector-context    | ISCO: muncitori    | CAEN: 15  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#108] Cofetar                    |   3656 lei net | sector-context    | ISCO: muncitori    | CAEN: 10  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#109] Fizioterapeut              |   3592 lei net | public-grid       | ISCO: specialisti  | CAEN: 86  | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. II (iunie 2024)
[#110] Frizer                     |   3500 lei net | external-reported | ISCO: servicii     | CAEN: 96  | Sursa: eJobs, Review & Trends 2026, p. 52 (2025)
[#111] Pompier                    |   3484 lei net | public-grid       | ISCO: servicii     | CAEN: P   | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. VI (2022)
[#112] Poștaș                     |   3455 lei net | sector-context    | ISCO: functionari  | CAEN: 53  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#113] Barman                     |   3400 lei net | external-reported | ISCO: servicii     | CAEN: 56  | Sursa: eJobs Salario / piața HoReCa (2025)
[#114] Operator salubritate       |   3363 lei net | sector-context    | ISCO: elementare   | CAEN: 38  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#115] Tapițer                    |   3336 lei net | sector-context    | ISCO: muncitori    | CAEN: 31  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#116] Casier                     |   3300 lei net | external-reported | ISCO: servicii     | CAEN: 47  | Sursa: Rapoarte de transparență mari rețele retail / eJobs (2025–2026)
[#117] Tehnician service IT       |   3274 lei net | sector-context    | ISCO: tehnicieni   | CAEN: 95  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#118] Curier                     |   3248 lei net | sector-context    | ISCO: elementare   | CAEN: 53  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#119] Pescar                     |   3220 lei net | external-reported | ISCO: agricultura  | CAEN: 03  | Sursa: Piața acvaculturii / MADR / Salario (2025–2026)
[#120] Asistent de farmacie       |   3200 lei net | external-reported | ISCO: tehnicieni   | CAEN: 47  | Sursa: eJobs, Review & Trends 2026, p. 54 (2025)
[#121] Agent de pază              |   3180 lei net | external-reported | ISCO: servicii     | CAEN: 80  | Sursa: eJobs Salario / piața serviciilor de securitate (2025–2026)
[#122] Vânzător                   |   3151 lei net | sector-context    | ISCO: servicii     | CAEN: 47  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#123] Chelner                    |   3100 lei net | external-reported | ISCO: servicii     | CAEN: 56  | Sursa: eJobs Salario / piața HoReCa (2025)
[#124] Funcționar public          |   3099 lei net | public-grid       | ISCO: functionari  | CAEN: P   | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. VIII (2022)
[#125] Croitor                    |   3055 lei net | sector-context    | ISCO: muncitori    | CAEN: 14  | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#126] Asistent social            |   3014 lei net | public-grid       | ISCO: specialisti  | CAEN: 88  | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. II (iunie 2024)
[#127] Instructor auto            |   2982 lei net | sector-context    | ISCO: servicii     | CAEN: Q   | Sursa: INS, FOM121A × FOM106G (Luna iunie 2026)
[#128] Agent de curățenie         |   2880 lei net | external-reported | ISCO: elementare   | CAEN: 81  | Sursa: eJobs Salario / piața forței de muncă (2025–2026)
[#129] Îngrijitor de bătrâni      |   2850 lei net | external-reported | ISCO: servicii     | CAEN: 87  | Sursa: eJobs Salario / piață asistență socială (2025–2026)
[#130] Infirmier                  |   2773 lei net | public-grid       | ISCO: servicii     | CAEN: 87  | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. II (iunie 2024)
[#131] Bibliotecar                |   2577 lei net | public-grid       | ISCO: specialisti  | CAEN: 91  | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexa nr. III (2022)
[#132] Preot                      |   2353 lei net | public-grid       | ISCO: specialisti  | CAEN: 94  | Sursa: Legea-cadru nr. 153/2017 privind salarizarea personalului plătit din fonduri publice, Anexă (2022)

================================================================================
